"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CR381670.1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"MIR3648",253.733076406342,-0.177035761075895,1.76326788193555,-0.100402078940814,0.920025119352203,0.998877542172598
"MIR3687",106.75518615888,-0.257406783459159,3.70812070864959,-0.0694170453671397,0.944657661406146,0.998877542172598
"TEKT4P2",83.4136720618703,-1.12993417871259,1.06191432240996,-1.064053996511,0.287304239244693,0.998877542172598
"CR392039.2",0.505178572803191,-2.53151827608941,4.8952209100835,-0.517140762917322,0.605057900025671,0.998877542172598
"CR392039.1",0.549537069851704,0.597498289572193,4.90998119365439,0.121690545443309,0.903144101229972,0.998877542172598
"CR381653.1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"TPTE",0.549537069851704,0.597498289572193,4.90998119365439,0.121690545443309,0.903144101229972,0.998877542172598
"BAGE2",18.7403689840095,-0.681143913477067,1.66282475043437,-0.409630607975457,0.682076940500711,0.998877542172598
"VN1R7P",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"AP003900.6",1.14343263675192,3.59704028365528,4.83639540242749,0.743744045792834,0.457031337105807,0.998877542172598
"EIF3FP1",0.86319902661188,-0.629126747772905,4.83136552471627,-0.130217170395083,0.896394610233349,0.998877542172598
"AP001464.4",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"ANKRD30BP2",2.1537897823583,0.0939131554666692,3.77140184598784,0.0249013919231592,0.980133616985436,0.998877542172598
"ZNF355P",2.35701816513993,1.21307583697416,3.28390431891667,0.369400481611578,0.71182923905566,0.998877542172598
"AJ239321.3",3.50045080189185,1.94748601351716,2.89000364787809,0.673869742326124,0.500394130331387,0.998877542172598
"ANKRD30BP1",1.04519267078695,0.0126518890411161,4.49375551728302,0.00281543777636697,0.997753608634077,0.998877542172598
"GRAMD4P1",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"CXADRP1",1.04519267078695,0.0126518890411161,4.49375551728302,0.00281543777636697,0.997753608634077,0.998877542172598
"FEM1AP1",2.80554074801039,-0.931249457420474,3.36956140841957,-0.276371119129495,0.782263036778304,0.998877542172598
"GXYLT1P2",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"CYP4F29P",5.82400078430706,0.0802301205902019,2.42892771778559,0.0330310861054961,0.973649798033258,0.998877542172598
"SNX18P13",2.53493399460894,0.511040674818265,3.55587289394348,0.143717362813697,0.885723659994747,0.998877542172598
"ANKRD20A11P",13.5963101245541,-0.00986669409640222,2.28859635209242,-0.00431124260395735,0.996560136744446,0.998877542172598
"RHOT1P2",0.886322785053831,-0.600248928199076,4.83476408057898,-0.124152682156767,0.901194386454936,0.998877542172598
"AP001347.6",6.2809787716249,0.78205150865443,1.94366049378094,0.40236014013596,0.687419000400266,0.998877542172598
"ANKRD20A18P",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"LIPI",0.76228842450128,2.99870139262852,4.86244306567458,0.616706736125556,0.53742817733201,0.998877542172598
"RBM11",16.6904740388677,-0.25964317722038,1.48748866213994,-0.174551365552494,0.861432166423453,0.998877542172598
"ABCC13",2.01207682052569,-0.271033514205734,3.14167753159563,-0.0862703162498281,0.931251534681345,0.998877542172598
"HSPA13",722.875270053051,1.38818002407836,0.893507993078498,1.55362910553886,0.120272912542079,0.998877542172598
"SAMSN1",224.912954404091,1.83126785054343,1.01177117364432,1.8099624680424,0.070301607663525,0.998877542172598
"SAMSN1-AS1",0.76228842450128,2.99870139262852,4.86244306567458,0.616706736125556,0.53742817733201,0.998877542172598
"AF165138.7",1.31182549435298,2.29445920883108,4.64150514757386,0.494335164107359,0.621069494962049,0.998877542172598
"AF127936.3",3.25505271693237,1.81718664451385,2.61606529512018,0.694625874936494,0.487289792340105,0.998877542172598
"POLR2CP",2.06507278826128,-2.37243369394439,3.89903066257689,-0.608467565211819,0.542877411577021,0.998877542172598
"AF127936.5",15.5729656937536,-0.199792999622586,1.5966630917676,-0.125131595170402,0.900419370541194,0.998877542172598
"GAPDHP16",2.74768534925852,1.09068221001423,3.4630012894052,0.314952874361061,0.752797434999172,0.998877542172598
"AF127936.7",68.7130428276847,0.577804659985723,1.0117101077547,0.571116820477409,0.567920457345976,0.998877542172598
"RBMX2P1",1.6042527125066,-0.235083140726855,4.22213605558254,-0.0556787222467703,0.955597750389659,0.998877542172598
"AF127577.8",1.98539692475724,0.354574557301947,3.88905809060847,0.0911723479158605,0.92735564658949,0.998877542172598
"NRIP1",797.851321028982,1.11170661208583,1.06812979875513,1.04079730139678,0.297969632781565,0.998877542172598
"AF127577.11",8.53548326592917,0.687049164500153,2.49532515353785,0.275334524451076,0.783059242413695,0.998877542172598
"AF127577.12",0.377066397544586,-1.92436165898798,4.94173231539359,-0.389410339567273,0.696972624615115,0.998877542172598
"AJ006998.2",0.476609657199346,2.41927265333919,4.89980268306567,0.493748995587211,0.621483458200339,0.998877542172598
"AJ009632.3",0.336785715202127,-1.99260058416184,4.93912662625832,-0.403431767383407,0.686630620881492,0.998877542172598
"snoU13",0.930681282102344,1.69921271270046,4.83369566456621,0.35153489806085,0.725187096095449,0.998877542172598
"USP25",441.160583414006,-0.0866534297756817,0.866872523454255,-0.0999609832255278,0.920375301122405,0.998877542172598
"RBPMSLP",1.09907413970341,1.04036518767121,4.80244066234821,0.216632595968923,0.82849468099275,0.998877542172598
"LINC00478",332.445613720472,-1.45158720154758,0.965818781803457,-1.50296021251218,0.132849304338917,0.998877542172598
"VDAC2P1",3.28818128851724,-1.8369124871252,3.27115474478533,-0.561548636625489,0.574423584025303,0.998877542172598
"RPS26P5",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"SNORD74",2.49057549756043,-0.319315434835351,3.57738246503461,-0.0892595180851767,0.928875665492839,0.998877542172598
"AP001172.2",17.2298747628559,-1.62373036505502,1.79663413031741,-0.903762395278644,0.366121405747512,0.998877542172598
"AP001172.3",6.65603844053851,-3.09369544400455,2.67198817013061,-1.1578252772928,0.246935345802725,0.998877542172598
"MIR99A",1.22310850025596,-1.32241423010317,4.73577254758945,-0.279239388466046,0.780061117716919,0.998877542172598
"MIRLET7C",0.886322785053831,-0.600248928199076,4.83476408057898,-0.124152682156767,0.901194386454936,0.998877542172598
"AP000962.2",7.06249520610177,-1.57043810170396,2.3056562191714,-0.681124136653965,0.495792945653513,0.998877542172598
"MIR125B2",1.17875000320745,-3.72652181634947,4.83367458659495,-0.770950081473026,0.44073652050281,0.998877542172598
"AP000473.5",17.8351320966184,-0.511820848944967,1.46472829897371,-0.349430573099177,0.726766084108805,0.998877542172598
"AP000473.8",31.4647908955834,-1.39356496539478,1.2421209558053,-1.12192372158419,0.261894873649922,0.998877542172598
"C21orf37",30.4830515750331,-6.43680050261591,4.72444178704344,-1.3624467805421,0.173056928820198,0.998877542172598
"RPL39P40",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"CXADR",303.345901237706,-0.0638429168566854,0.949079089781218,-0.0672682788442873,0.946368129484933,0.998877542172598
"BTF3L4P1",0.930681282102344,1.69921271270046,4.83369566456621,0.35153489806085,0.725187096095449,0.998877542172598
"Y_RNA",1.97179613818324,-0.255585136310718,3.16651599469439,-0.080714936144002,0.935668658249117,0.998877542172598
"BTG3",176.053334834243,0.976423087355814,0.894242941893546,1.09189912674989,0.274877441591905,0.998877542172598
"C21orf91-OT1",1.14343263675192,3.59704028365528,4.83639540242749,0.743744045792834,0.457031337105807,0.998877542172598
"C21orf91",249.835393639621,-1.88853260146935,1.15556628822501,-1.6342918798455,0.102197577895598,0.998877542172598
"AL109761.5",1.2190306855499,-3.76074687768222,4.67795115300918,-0.803930343578523,0.421437204629769,0.998877542172598
"CHODL-AS1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"CHODL",40.051853096136,2.12722304127247,1.46935235338556,1.4477283385235,0.1476930412221,0.998877542172598
"AP000998.2",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"TMPRSS15",0.476609657199346,2.41927265333919,4.89980268306567,0.493748995587211,0.621483458200339,0.998877542172598
"AL109763.2",1.05471564265489,-1.0038506329172,4.80796557010872,-0.208789064372294,0.834612908570007,0.998877542172598
"PPIAP22",153.152477877212,0.662852802909714,0.961271696010032,0.689558223404506,0.490472046780713,0.998877542172598
"SLC6A6P1",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"AP001171.1",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"KRT18P2",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"LINC00320",591.054668404339,-5.83013706380695,3.33341668746768,-1.74899738329323,0.0802914717264702,0.998877542172598
"NCAM2",483.101162451498,-1.80247081736541,1.07567792986232,-1.67566031367412,0.093804747560815,0.998877542172598
"AP001136.2",2.23346564586234,-2.5185966104737,3.79311376993974,-0.663991845020171,0.506695530536498,0.998877542172598
"AP001137.1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"AF241725.6",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"AP000705.8",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"AP000705.6",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"MAPK6PS2",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"AP000959.2",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"AP000459.4",6.33902631667494,-2.99972985902008,2.27531806821026,-1.31837825266321,0.187377057121531,0.998877542172598
"AP000476.1",21.9327746638062,0.286344587608,1.7209970435581,0.166382963108404,0.867855580547964,0.998877542172598
"AP000146.2",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"AP001342.1",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"7SK",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"AP000233.4",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"RPL13AP7",18.028325910211,-0.433941519722321,1.38305109991596,-0.313756678801448,0.753705849309439,0.998877542172598
"LINC00158",4.76520732694611,-0.166259091361896,2.5504694092629,-0.0651876437953222,0.948024599026649,0.998877542172598
"AP000221.1",0.377066397544586,-1.92436165898798,4.94173231539359,-0.389410339567273,0.696972624615115,0.998877542172598
"MIR155HG",28.7458770776401,2.67395984662146,1.3581716312728,1.9687937702804,0.0489767779751231,0.998877542172598
"LINC00515",12.771826748146,-0.885562365668502,1.5497742450359,-0.571413783978574,0.567719187633506,0.998877542172598
"MRPL39",129.715877915725,0.144893697155619,0.939242009617986,0.154266627420713,0.877399509749349,0.998877542172598
"JAM2",783.856155906545,-0.442854199430375,0.915999541397263,-0.483465525271821,0.628765232448763,0.998877542172598
"RNGTTP1",2.32218263995937,-0.127218374354203,3.66851401659965,-0.0346784484885579,0.972336146203888,0.998877542172598
"FDX1P2",0.336785715202127,-1.99260058416184,4.93912662625832,-0.403431767383407,0.686630620881492,0.998877542172598
"ATP5J",598.298051452298,-1.38475901439384,1.13286955247171,-1.22234639581632,0.221576661073224,0.998877542172598
"GABPA",371.667163870626,0.495279134868866,0.862908520579703,0.573964821365001,0.565991606846079,0.998877542172598
"AP000226.9",0.549537069851704,0.597498289572193,4.90998119365439,0.121690545443309,0.903144101229972,0.998877542172598
"APP",10134.4153483626,0.127524915873944,0.983074613860391,0.129720485175761,0.896787574684647,0.998877542172598
"AP001442.2",17.6820972040281,-0.559265830789494,2.20377878099733,-0.25377584883379,0.799668732603477,0.998877542172598
"RNU6-123P",1.98539692475724,0.354574557301947,3.88905809060847,0.0911723479158605,0.92735564658949,0.998877542172598
"AP001439.2",1.17875000320745,-3.72652181634947,4.83367458659495,-0.770950081473026,0.44073652050281,0.998877542172598
"AP000230.1",11.0246255727495,-0.428131502530713,1.95553728256167,-0.218932927716867,0.826702296015697,0.998877542172598
"AP001596.6",3.09121951531233,-0.633729644549719,2.91494944012384,-0.217406736400476,0.827891381859326,0.998877542172598
"AP001597.1",9.7820934810314,-1.56072344388209,2.088813952119,-0.747181644539866,0.454953922399809,0.998877542172598
"KB-1466C5.1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"CYYR1",133.929912007635,-1.3605929971318,1.02383881692721,-1.3289132768137,0.183876583045965,0.998877542172598
"ADAMTS1",392.920595906018,-0.745213598486502,0.949641494151424,-0.784731504547836,0.432611007188308,0.998877542172598
"AP001601.2",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"ADAMTS5",51.1410956633991,0.193247138104174,1.35800556735692,0.142302169261566,0.886841333141557,0.998877542172598
"GPX1P2",1.26746699730447,0.496911187268054,4.64320234193853,0.107019068021187,0.914773852535646,0.998877542172598
"AP001604.3",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"EIF4A1P1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"AJ006995.3",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"AL035610.1",1.76448994069555,-4.28827125255963,4.01817401648407,-1.06721889967122,0.285873000044989,0.998877542172598
"AL035610.2",1.01035714560638,-3.50780537775189,4.84158070438127,-0.724516556044928,0.468748666709314,0.998877542172598
"AF131217.1",9.76485837576185,1.08733042718925,2.07542481689968,0.523907403600161,0.600342945114319,0.998877542172598
"LINC00161",0.505178572803191,-2.53151827608941,4.8952209100835,-0.517140762917322,0.605057900025671,0.998877542172598
"RNU6-872P",0.717929927452767,-0.0613431650952382,4.87921454429365,-0.0125723442858196,0.989968984858739,0.998877542172598
"N6AMT1",122.494136277649,-0.440833234764674,0.943300700559419,-0.467330549530219,0.64026340284335,0.998877542172598
"HSPD1P7",0.76228842450128,2.99870139262852,4.86244306567458,0.616706736125556,0.53742817733201,0.998877542172598
"THUMPD1P1",0.377066397544586,-1.92436165898798,4.94173231539359,-0.389410339567273,0.696972624615115,0.998877542172598
"LTN1",528.514113492349,0.530379061523797,0.906297167967556,0.585215402044359,0.558402889841566,0.998877542172598
"RPL23P2",6.9464586213831,-0.891133849519052,1.88712578048913,-0.472217516570663,0.636771538027399,0.998877542172598
"RWDD2B",95.4328901094758,-0.320135251106472,0.981004181578564,-0.326334237017555,0.744171487404458,0.998877542172598
"RP1-100J12.1",3.06134730601869,0.533999009449675,2.66039142940027,0.200721970289182,0.84091597952068,0.998877542172598
"USP16",575.166915293191,-0.203667471565441,0.862864176678579,-0.236036536305653,0.813404319161083,0.998877542172598
"CCT8",702.413634538061,0.800201736364251,0.851301515357328,0.939974523630881,0.347230628748453,0.998877542172598
"AF129075.5",4.61846700046051,-0.781218559567682,2.28678271629834,-0.341623431907102,0.732634300924853,0.998877542172598
"MAP3K7CL",93.5933922880271,0.885412677127728,0.959145097426909,0.923126938252635,0.355941057780146,0.998877542172598
"RPL12P9",0.841964288005319,-3.24977253321188,4.85254170097533,-0.669705225317013,0.503045720023169,0.998877542172598
"AF124730.4",0.549537069851704,0.597498289572193,4.90998119365439,0.121690545443309,0.903144101229972,0.998877542172598
"LINC00189",1.47614053724799,0.0378678086160262,3.93973601629706,0.00961176293522784,0.992331040836126,0.998877542172598
"BACH1",667.385495920955,0.850121207552544,1.00315475915949,0.847447714114255,0.3967456188317,0.998877542172598
"GAPDHP14",0.505178572803191,-2.53151827608941,4.8952209100835,-0.517140762917322,0.605057900025671,0.998877542172598
"BACH1-IT1",9.10755836807722,0.823405339912761,2.0699187509161,0.39779597124203,0.690780587219016,0.998877542172598
"AP000240.9",4.36230669870936,-1.97487713893012,2.36787577932591,-0.834029029805072,0.404264625445764,0.998877542172598
"BACH1-AS1",0.717929927452767,-0.0613431650952382,4.87921454429365,-0.0125723442858196,0.989968984858739,0.998877542172598
"BACH1-IT2",8.31320893941164,0.616180933324052,2.27844672808017,0.270439034509816,0.786822513267025,0.998877542172598
"BACH1-IT3",5.40665370442001,0.309409608913478,2.79387552343633,0.110745667198845,0.91181803149641,0.998877542172598
"GRIK1",148.159884375067,-0.711840781941282,1.10049330292287,-0.646837904465805,0.517736857632385,0.998877542172598
"RP11-313P22.1",2.81187140635316,-0.430521387410065,2.70832712295211,-0.158962107553976,0.873698727953793,0.998877542172598
"GRIK1-AS1",14.0894113072991,-2.01034431959936,1.75767115149304,-1.14375451738609,0.25272545706385,0.998877542172598
"CLDN8",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"KRTAP24-1",0.549537069851704,0.597498289572193,4.90998119365439,0.121690545443309,0.903144101229972,0.998877542172598
"MIR4327",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"KRTAP19-1",0.38114421225064,1.89696668944535,4.9382845809601,0.384134745243164,0.700878580360504,0.998877542172598
"KRTAP22-2",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"KRTAP21-2",1.13935482204587,1.10856132308098,4.80511876589818,0.230704250423198,0.817544571238099,0.998877542172598
"KRTAP21-1",0.168392857601064,-1.33374906807086,4.96952223518502,-0.268385773309897,0.78840238920092,0.998877542172598
"KRTAP8-1",0.76228842450128,2.99870139262852,4.86244306567458,0.616706736125556,0.53742817733201,0.998877542172598
